"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","152","pps498ozfqy","easy","ladybug","","","","","",""
"true","","","","","fullscreen","1","2.1.0","3074","pps498ozfqy","easy","ladybug","1919","","","","",""
"","","","","","survey-text","2","2.1.0","7438","pps498ozfqy","easy","ladybug","4358","{""participant_id"":""ladybug""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","23264","pps498ozfqy","easy","ladybug","15823"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","23767","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","24270","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","33047","pps498ozfqy","easy","ladybug","6771","a","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","33551","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","34054","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","38790","pps498ozfqy","easy","ladybug","2731","b","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","10","2.1.0","39294","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","39797","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","44123","pps498ozfqy","easy","ladybug","2323","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","13","2.1.0","44627","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","45128","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","48200","pps498ozfqy","easy","ladybug","1068","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","16","2.1.0","48704","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","17","2.1.0","49206","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","18","2.1.0","52156","pps498ozfqy","easy","ladybug","945","b","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","19","2.1.0","52659","pps498ozfqy","easy","ladybug","null","null","<div style=""font-size:60px;"">+</div>","","",""
