"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","214","p6x6e2499g6","easy2","jaguar","","","","","",""
"true","","","","","fullscreen","1","2.1.0","4691","p6x6e2499g6","easy2","jaguar","3462","","","","",""
"","","","","","survey-text","2","2.1.0","6692","p6x6e2499g6","easy2","jaguar","1995","{""participant_id"":""jaguar""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","23131","p6x6e2499g6","easy2","jaguar","16438"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","23641","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","24145","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","28644","p6x6e2499g6","easy2","jaguar","2483","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","29146","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","29658","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","32978","p6x6e2499g6","easy2","jaguar","1310","b","stimuli/experiment1a/high_B_111.png","high","A","false"
"","","","","","html-keyboard-response","10","2.1.0","33482","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","36235","p6x6e2499g6","easy2","jaguar","744","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","12","2.1.0","36749","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","37263","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","40335","p6x6e2499g6","easy2","jaguar","1066","b","stimuli/experiment1a/high_B_110.png","high","A","false"
"","","","","","html-keyboard-response","15","2.1.0","40853","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","43491","p6x6e2499g6","easy2","jaguar","636","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","17","2.1.0","43999","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","44505","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","47784","p6x6e2499g6","easy2","jaguar","1275","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","20","2.1.0","48291","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","21","2.1.0","48804","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","53162","p6x6e2499g6","easy2","jaguar","2349","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","23","2.1.0","53674","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","54179","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","57983","p6x6e2499g6","easy2","jaguar","1789","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","26","2.1.0","58491","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","59005","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","61671","p6x6e2499g6","easy2","jaguar","650","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","29","2.1.0","62174","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","62690","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","65058","p6x6e2499g6","easy2","jaguar","364","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","image-keyboard-response","32","null","66459","p6x6e2499g6","easy2","jaguar","1396","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","33","2.1.0","67812","p6x6e2499g6","easy2","jaguar","1352"," ","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","34","2.1.0","70168","p6x6e2499g6","easy2","jaguar","2355"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","35","2.1.0","70681","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","71189","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","74890","p6x6e2499g6","easy2","jaguar","1697","a","stimuli/experiment1a/high_B_110.png","high","A","true"
"","","","","","html-keyboard-response","38","2.1.0","75394","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","39","2.1.0","75897","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","40","2.1.0","78329","p6x6e2499g6","easy2","jaguar","419","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","41","2.1.0","78836","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","79344","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","81824","p6x6e2499g6","easy2","jaguar","466","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","44","2.1.0","82336","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","45","2.1.0","82841","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","46","2.1.0","85292","p6x6e2499g6","easy2","jaguar","436","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","47","2.1.0","85795","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","48","2.1.0","86308","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","49","2.1.0","88954","p6x6e2499g6","easy2","jaguar","643","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","50","2.1.0","89461","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","51","2.1.0","89977","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","52","2.1.0","92712","p6x6e2499g6","easy2","jaguar","724","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","53","2.1.0","93217","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","54","2.1.0","93734","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","55","2.1.0","96265","p6x6e2499g6","easy2","jaguar","517","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","56","2.1.0","96769","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","57","2.1.0","97280","p6x6e2499g6","easy2","jaguar","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","58","2.1.0","99685","p6x6e2499g6","easy2","jaguar","398","b","stimuli/experiment1a/high_A_000.png","high","B","true"
