"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","418","p64hsrmtav2","easy","lion","","","","","",""
"true","","","","","fullscreen","1","2.1.0","10940","p64hsrmtav2","easy","lion","9518","","","","",""
"","","","","","survey-text","2","2.1.0","13490","p64hsrmtav2","easy","lion","2547","{""participant_id"":""lion""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","22274","p64hsrmtav2","easy","lion","8783"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","22776","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","23278","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","34165","p64hsrmtav2","easy","lion","8882","a","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","34668","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","35169","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","38828","p64hsrmtav2","easy","lion","1656","b","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","10","2.1.0","39331","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","41972","p64hsrmtav2","easy","lion","638","a","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","12","2.1.0","42475","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","42976","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","46004","p64hsrmtav2","easy","lion","1025","a","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","15","2.1.0","46506","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","49004","p64hsrmtav2","easy","lion","496","b","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","17","2.1.0","49507","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","50008","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","53340","p64hsrmtav2","easy","lion","1329","a","stimuli/experiment1a/high_B_101.png","high","B","false"
"","","","","","html-keyboard-response","20","2.1.0","53841","p64hsrmtav2","easy","lion","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","21","2.1.0","56204","p64hsrmtav2","easy","lion","360","b","stimuli/experiment1a/high_B_101.png","high","B","true"
