"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","11","px0777n1f09","easy2","TEST1","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2172","px0777n1f09","easy2","TEST1","1160","","","","",""
"","","","","","survey-text","2","2.1.0","4463","px0777n1f09","easy2","TEST1","2286","{""participant_id"":""TEST1""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","5439","px0777n1f09","easy2","TEST1","975","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","5941","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","6445","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","29894","px0777n1f09","easy2","TEST1","21442","b","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","30398","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","30901","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","96745","px0777n1f09","easy2","TEST1","63838","b","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","10","2.1.0","97251","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","97755","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","100218","px0777n1f09","easy2","TEST1","457","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","13","2.1.0","100723","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","101227","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","103992","px0777n1f09","easy2","TEST1","760","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","16","2.1.0","104496","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","17","2.1.0","104999","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","18","2.1.0","107755","px0777n1f09","easy2","TEST1","750","b","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","19","2.1.0","108258","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","110752","px0777n1f09","easy2","TEST1","489","b","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","21","2.1.0","111256","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","113562","px0777n1f09","easy2","TEST1","300","b","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","23","2.1.0","114066","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","24","2.1.0","130978","px0777n1f09","easy2","TEST1","14907","b","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","25","2.1.0","131482","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","26","2.1.0","133544","px0777n1f09","easy2","TEST1","58","a","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","27","2.1.0","134049","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","28","2.1.0","134551","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","29","2.1.0","136678","px0777n1f09","easy2","TEST1","122","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","30","2.1.0","137183","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","31","2.1.0","137685","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","32","2.1.0","139822","px0777n1f09","easy2","TEST1","132","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","33","2.1.0","140325","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","34","2.1.0","142450","px0777n1f09","easy2","TEST1","120","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","35","2.1.0","142955","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","36","2.1.0","143457","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","145826","px0777n1f09","easy2","TEST1","364","b","stimuli/experiment1a/high_B_101.png","high","B","false"
"","","","","","html-keyboard-response","38","2.1.0","146330","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","39","2.1.0","148700","px0777n1f09","easy2","TEST1","364","a","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","image-keyboard-response","40","null","149532","px0777n1f09","easy2","TEST1","825","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","41","2.1.0","151521","px0777n1f09","easy2","TEST1","1987","b","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","42","2.1.0","152140","px0777n1f09","easy2","TEST1","618","b","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","43","2.1.0","152643","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","44","2.1.0","153146","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","157033","px0777n1f09","easy2","TEST1","1881","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","46","2.1.0","157537","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","47","2.1.0","158040","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","48","2.1.0","160617","px0777n1f09","easy2","TEST1","572","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","49","2.1.0","161122","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","50","2.1.0","161625","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","51","2.1.0","164155","px0777n1f09","easy2","TEST1","525","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","52","2.1.0","164659","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","53","2.1.0","165163","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","54","2.1.0","167736","px0777n1f09","easy2","TEST1","568","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","55","2.1.0","168240","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","56","2.1.0","170644","px0777n1f09","easy2","TEST1","399","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","57","2.1.0","171149","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","58","2.1.0","171652","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","59","2.1.0","174186","px0777n1f09","easy2","TEST1","530","a","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","60","2.1.0","174690","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","61","2.1.0","175193","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","62","2.1.0","219684","px0777n1f09","easy2","TEST1","42486","a","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","63","2.1.0","220188","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","64","2.1.0","222359","px0777n1f09","easy2","TEST1","166","b","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","65","2.1.0","222863","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","66","2.1.0","223366","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","67","2.1.0","225482","px0777n1f09","easy2","TEST1","111","a","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","68","2.1.0","225986","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","69","2.1.0","228238","px0777n1f09","easy2","TEST1","248","b","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","70","2.1.0","228742","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","71","2.1.0","229245","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","72","2.1.0","231427","px0777n1f09","easy2","TEST1","176","a","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","image-keyboard-response","73","null","231513","px0777n1f09","easy2","TEST1","82","b","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","74","2.1.0","232448","px0777n1f09","easy2","TEST1","934","a","<p>Fluffy is angered. Make sure to focus!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","75","2.1.0","232919","px0777n1f09","easy2","TEST1","470","a","<p><strong>TEST BLOCK 2 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","76","2.1.0","233422","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","77","2.1.0","233925","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","78","2.1.0","237236","px0777n1f09","easy2","TEST1","1304","b","stimuli/experiment1a/high_B_110.png","high","B","false"
"","","","","","html-keyboard-response","79","2.1.0","237739","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","80","2.1.0","240061","px0777n1f09","easy2","TEST1","316","a","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","81","2.1.0","240566","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","82","2.1.0","241069","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","83","2.1.0","243257","px0777n1f09","easy2","TEST1","183","b","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","84","2.1.0","243761","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","85","2.1.0","244265","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","86","2.1.0","246564","px0777n1f09","easy2","TEST1","294","a","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","87","2.1.0","247068","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","88","2.1.0","250278","px0777n1f09","easy2","TEST1","587","b","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","89","2.1.0","251280","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","90","2.1.0","252280","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","91","2.1.0","850952","px0777n1f09","easy2","TEST1","596664","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","92","2.1.0","851457","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","93","2.1.0","853634","px0777n1f09","easy2","TEST1","171","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","94","2.1.0","854137","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","95","2.1.0","854640","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","96","2.1.0","856730","px0777n1f09","easy2","TEST1","85","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","97","2.1.0","857232","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","98","2.1.0","859397","px0777n1f09","easy2","TEST1","160","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","99","2.1.0","859901","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","100","2.1.0","862034","px0777n1f09","easy2","TEST1","128","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","101","2.1.0","862538","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","102","2.1.0","863040","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","103","2.1.0","865406","px0777n1f09","easy2","TEST1","362","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","104","2.1.0","865910","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","105","2.1.0","867939","px0777n1f09","easy2","TEST1","24","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","106","2.1.0","868444","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","107","2.1.0","868947","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","108","2.1.0","871170","px0777n1f09","easy2","TEST1","217","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","109","2.1.0","871674","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","110","2.1.0","872176","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","111","2.1.0","874620","px0777n1f09","easy2","TEST1","439","a","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","image-keyboard-response","112","null","874814","px0777n1f09","easy2","TEST1","190","b","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","113","2.1.0","875398","px0777n1f09","easy2","TEST1","583","b","<p>Fluffy is angered. Make sure to focus!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","114","2.1.0","875941","px0777n1f09","easy2","TEST1","542","b","<p><strong>TEST BLOCK 3 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","115","2.1.0","876445","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","116","2.1.0","876948","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","117","2.1.0","879011","px0777n1f09","easy2","TEST1","59","a","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","118","2.1.0","879515","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","119","2.1.0","880018","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","120","2.1.0","882765","px0777n1f09","easy2","TEST1","740","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","121","2.1.0","883269","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","122","2.1.0","885684","px0777n1f09","easy2","TEST1","408","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","123","2.1.0","886188","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","124","2.1.0","886692","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","125","2.1.0","889168","px0777n1f09","easy2","TEST1","471","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","126","2.1.0","889672","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","127","2.1.0","890175","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","128","2.1.0","892689","px0777n1f09","easy2","TEST1","508","a","stimuli/experiment1a/high_B_110.png","high","B","true"
"","","","","","html-keyboard-response","129","2.1.0","893193","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","130","2.1.0","893696","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","131","2.1.0","896709","px0777n1f09","easy2","TEST1","1006","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","132","2.1.0","897213","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","133","2.1.0","901853","px0777n1f09","easy2","TEST1","2634","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","134","2.1.0","902357","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","135","2.1.0","915162","px0777n1f09","easy2","TEST1","10799","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","136","2.1.0","915667","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","137","2.1.0","918468","px0777n1f09","easy2","TEST1","796","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","138","2.1.0","918972","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","139","2.1.0","919475","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","140","2.1.0","925430","px0777n1f09","easy2","TEST1","3950","b","stimuli/experiment1a/high_B_111.png","high","B","false"
"","","","","","html-keyboard-response","141","2.1.0","925934","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","142","2.1.0","930768","px0777n1f09","easy2","TEST1","2830","a","stimuli/experiment1a/high_B_111.png","high","B","true"
"","","","","","html-keyboard-response","143","2.1.0","931272","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","144","2.1.0","931776","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","145","2.1.0","996621","px0777n1f09","easy2","TEST1","62840","a","stimuli/experiment1a/high_A_001.png","high","A","false"
"","","","","","html-keyboard-response","146","2.1.0","997126","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","147","2.1.0","999461","px0777n1f09","easy2","TEST1","330","b","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","148","2.1.0","999966","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","149","2.1.0","1000468","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","150","2.1.0","1002893","px0777n1f09","easy2","TEST1","419","a","stimuli/experiment1a/high_A_010.png","high","A","false"
"","","","","","html-keyboard-response","151","2.1.0","1003397","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","152","2.1.0","1005775","px0777n1f09","easy2","TEST1","372","b","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","image-keyboard-response","153","null","1006343","px0777n1f09","easy2","TEST1","565","a","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","154","2.1.0","1006881","px0777n1f09","easy2","TEST1","538","a","<p>Fluffy is angered. Make sure to focus!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","155","2.1.0","1007239","px0777n1f09","easy2","TEST1","356","b","<p><strong>TEST BLOCK 4 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","156","2.1.0","1007743","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","157","2.1.0","1008247","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","158","2.1.0","1010354","px0777n1f09","easy2","TEST1","102","b","stimuli/experiment1a/high_B_101.png","high","B","false"
"","","","","","html-keyboard-response","159","2.1.0","1010858","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","160","2.1.0","1013135","px0777n1f09","easy2","TEST1","272","a","stimuli/experiment1a/high_B_101.png","high","B","true"
"","","","","","html-keyboard-response","161","2.1.0","1013639","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","162","2.1.0","1014142","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","163","2.1.0","1016425","px0777n1f09","easy2","TEST1","277","b","stimuli/experiment1a/high_A_001.png","high","A","true"
"","","","","","html-keyboard-response","164","2.1.0","1016929","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","165","2.1.0","1017433","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","166","2.1.0","1019560","px0777n1f09","easy2","TEST1","121","b","stimuli/experiment1a/high_A_010.png","high","A","true"
"","","","","","html-keyboard-response","167","2.1.0","1020064","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","168","2.1.0","1020568","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","169","2.1.0","1022842","px0777n1f09","easy2","TEST1","270","a","stimuli/experiment1a/high_A_000.png","high","A","false"
"","","","","","html-keyboard-response","170","2.1.0","1023346","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","171","2.1.0","1025463","px0777n1f09","easy2","TEST1","112","b","stimuli/experiment1a/high_A_000.png","high","A","true"
"","","","","","html-keyboard-response","172","2.1.0","1025968","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","173","2.1.0","1026470","px0777n1f09","easy2","TEST1","null","null","<div style=""font-size:60px;"">+</div>","","",""
