"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","14","pqs8k9pptmv","hard","goose","","","","","",""
"true","","","","","fullscreen","1","2.1.0","1921","pqs8k9pptmv","hard","goose","904","","","","",""
"","","","","","survey-text","2","2.1.0","3494","pqs8k9pptmv","hard","goose","1567","{""participant_id"":""goose""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","16067","pqs8k9pptmv","hard","goose","12572","Enter","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","16569","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","17072","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","21161","pqs8k9pptmv","hard","goose","2084","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","21665","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","22168","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","25435","pqs8k9pptmv","hard","goose","1264","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","10","2.1.0","25938","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","29348","pqs8k9pptmv","hard","goose","1405","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","12","2.1.0","29851","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","13","2.1.0","30354","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","34028","pqs8k9pptmv","hard","goose","1669","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","15","2.1.0","34532","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","35034","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","39098","pqs8k9pptmv","hard","goose","2060","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","18","2.1.0","39601","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","40103","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","43317","pqs8k9pptmv","hard","goose","1209","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","21","2.1.0","43820","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","22","2.1.0","46899","pqs8k9pptmv","hard","goose","1074","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","23","2.1.0","47402","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","24","2.1.0","47905","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","50602","pqs8k9pptmv","hard","goose","692","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","26","2.1.0","51106","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","27","2.1.0","51607","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","28","2.1.0","54185","pqs8k9pptmv","hard","goose","574","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","29","2.1.0","54687","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","30","2.1.0","55189","pqs8k9pptmv","hard","goose","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","31","2.1.0","57672","pqs8k9pptmv","hard","goose","478","b","stimuli/experiment1a/low_B_111.png","low","B","true"
