"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","109","pdg7dqscz04","hard","alpaca","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2291","pdg7dqscz04","hard","alpaca","1178","","","","",""
"","","","","","survey-text","2","2.1.0","5149","pdg7dqscz04","hard","alpaca","2852","{""participant_id"":""alpaca""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","11577","pdg7dqscz04","hard","alpaca","6425"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","12083","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","12586","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","22108","pdg7dqscz04","hard","alpaca","7515","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","7","2.1.0","22612","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","23115","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","28122","pdg7dqscz04","hard","alpaca","3002","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","10","2.1.0","28626","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","29127","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","31871","pdg7dqscz04","hard","alpaca","740","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","13","2.1.0","32375","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","14","2.1.0","32878","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","15","2.1.0","36501","pdg7dqscz04","hard","alpaca","1619","b","stimuli/experiment1a/low_A_001.png","low","A","false"
"","","","","","html-keyboard-response","16","2.1.0","37005","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","39716","pdg7dqscz04","hard","alpaca","707","a","stimuli/experiment1a/low_A_001.png","low","A","true"
"","","","","","html-keyboard-response","18","2.1.0","40219","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","19","2.1.0","40721","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","20","2.1.0","43264","pdg7dqscz04","hard","alpaca","539","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","21","2.1.0","43768","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","22","2.1.0","44269","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","23","2.1.0","49665","pdg7dqscz04","hard","alpaca","3392","a","stimuli/experiment1a/low_B_101.png","low","B","false"
"","","","","","html-keyboard-response","24","2.1.0","50168","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","25","2.1.0","52891","pdg7dqscz04","hard","alpaca","719","a","stimuli/experiment1a/low_B_101.png","low","B","false"
"","","","","","html-keyboard-response","26","2.1.0","53393","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","27","2.1.0","55798","pdg7dqscz04","hard","alpaca","402","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","28","2.1.0","56301","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","29","2.1.0","56803","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","30","2.1.0","60012","pdg7dqscz04","hard","alpaca","1205","b","stimuli/experiment1a/low_A_010.png","low","A","false"
"","","","","","html-keyboard-response","31","2.1.0","60515","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","32","2.1.0","62830","pdg7dqscz04","hard","alpaca","310","a","stimuli/experiment1a/low_A_010.png","low","A","true"
"","","","","","html-keyboard-response","33","2.1.0","63333","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","34","2.1.0","63836","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","35","2.1.0","66649","pdg7dqscz04","hard","alpaca","809","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","36","2.1.0","67152","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","37","2.1.0","69503","pdg7dqscz04","hard","alpaca","347","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","image-keyboard-response","38","null","5327133","pdg7dqscz04","hard","alpaca","513539","q","stimuli/experiment_check.webp","","",""
"","","","","","html-keyboard-response","39","2.1.0","5329138","pdg7dqscz04","hard","alpaca","null","null","<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","40","2.1.0","5331087","pdg7dqscz04","hard","alpaca","1948"," ","<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>","","",""
"","","","","","html-keyboard-response","41","2.1.0","5331589","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","42","2.1.0","5332092","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","43","2.1.0","5337083","pdg7dqscz04","hard","alpaca","2985","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","44","2.1.0","5337585","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","45","2.1.0","5340650","pdg7dqscz04","hard","alpaca","1061","a","stimuli/experiment1a/low_B_110.png","low","B","false"
"","","","","","html-keyboard-response","46","2.1.0","5341154","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","47","2.1.0","5343510","pdg7dqscz04","hard","alpaca","352","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","48","2.1.0","5344014","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","49","2.1.0","5344516","pdg7dqscz04","hard","alpaca","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","50","2.1.0","5371718","pdg7dqscz04","hard","alpaca","25197","a","stimuli/experiment1a/low_A_001.png","low","A","true"
