"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","43","prutwvvcz18","easy2","owl","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2624","prutwvvcz18","easy2","owl","1579","","","","",""
"","","","","","survey-text","2","2.1.0","6223","prutwvvcz18","easy2","owl","3594","{""participant_id"":""owl""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","18507","prutwvvcz18","easy2","owl","12283"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","19009","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","19512","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","26807","prutwvvcz18","easy2","owl","5289","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","7","2.1.0","27310","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","8","2.1.0","27812","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","9","2.1.0","31251","prutwvvcz18","easy2","owl","1434","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","10","2.1.0","31755","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","11","2.1.0","32257","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","12","2.1.0","35110","prutwvvcz18","easy2","owl","849","a","stimuli/experiment1a/high_A_001.png","high","B","false"
"","","","","","html-keyboard-response","13","2.1.0","35612","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","14","2.1.0","37917","prutwvvcz18","easy2","owl","300","b","stimuli/experiment1a/high_A_001.png","high","B","true"
"","","","","","html-keyboard-response","15","2.1.0","38420","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","16","2.1.0","38922","prutwvvcz18","easy2","owl","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","17","2.1.0","42994","prutwvvcz18","easy2","owl","2069","b","stimuli/experiment1a/high_B_110.png","high","A","false"
