"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","144","p4yy4pbz600","hard","lamb","","","","","",""
"true","","","","","fullscreen","1","2.1.0","2673","p4yy4pbz600","hard","lamb","1525","","","","",""
"","","","","","survey-text","2","2.1.0","5719","p4yy4pbz600","hard","lamb","3041","{""participant_id"":""lamb""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","19669","p4yy4pbz600","hard","lamb","13948"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","20171","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","20674","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","27250","p4yy4pbz600","hard","lamb","4570","a","stimuli/experiment1a/low_B_111.png","low","B","false"
"","","","","","html-keyboard-response","7","2.1.0","27754","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","33291","p4yy4pbz600","hard","lamb","3533","b","stimuli/experiment1a/low_B_111.png","low","B","true"
"","","","","","html-keyboard-response","9","2.1.0","33793","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","34295","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","37538","p4yy4pbz600","hard","lamb","1240","a","stimuli/experiment1a/low_B_101.png","low","B","false"
"","","","","","html-keyboard-response","12","2.1.0","38041","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","13","2.1.0","41260","p4yy4pbz600","hard","lamb","1217","b","stimuli/experiment1a/low_B_101.png","low","B","true"
"","","","","","html-keyboard-response","14","2.1.0","41764","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","15","2.1.0","42266","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","45983","p4yy4pbz600","hard","lamb","1713","b","stimuli/experiment1a/low_A_000.png","low","A","false"
"","","","","","html-keyboard-response","17","2.1.0","46485","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","18","2.1.0","49851","p4yy4pbz600","hard","lamb","1362","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","19","2.1.0","50355","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","20","2.1.0","50857","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","21","2.1.0","53685","p4yy4pbz600","hard","lamb","824","b","stimuli/experiment1a/low_B_110.png","low","B","true"
"","","","","","html-keyboard-response","22","2.1.0","54188","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","23","2.1.0","54690","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","24","2.1.0","57142","p4yy4pbz600","hard","lamb","449","a","stimuli/experiment1a/low_A_000.png","low","A","true"
"","","","","","html-keyboard-response","25","2.1.0","57644","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","26","2.1.0","58146","p4yy4pbz600","hard","lamb","null","null","<div style=""font-size:60px;"">+</div>","","",""
