"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","rt","response","stimulus","nameability","correct_category","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","126","pvfdp4mgn6d","easy2","gecko","","","","","",""
"true","","","","","fullscreen","1","2.1.0","4816","pvfdp4mgn6d","easy2","gecko","3678","","","","",""
"","","","","","survey-text","2","2.1.0","7903","pvfdp4mgn6d","easy2","gecko","3078","{""participant_id"":""gecko""}","","","",""
"","","","","","html-keyboard-response","3","2.1.0","17576","pvfdp4mgn6d","easy2","gecko","9671"," ","
     <p> Welcome to the experiment! </p>

     <p> In this experiment, you will see a series of images. </p>
     <p> Your task is to categorize each image into one of two categories (A and B) as quickly and accurately as possible. </p>
     <p> You will receive feedback after each response. If you get the category wrong, you will be asked to choose the category again</p>
   ","","",""
"","","","","","html-keyboard-response","4","2.1.0","18086","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","5","2.1.0","18599","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","6","2.1.0","24023","pvfdp4mgn6d","easy2","gecko","3404","a","stimuli/experiment1a/high_A_000.png","high","B","false"
"","","","","","html-keyboard-response","7","2.1.0","24534","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","8","2.1.0","27798","pvfdp4mgn6d","easy2","gecko","1255","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","9","2.1.0","28315","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","10","2.1.0","28832","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","11","2.1.0","32082","pvfdp4mgn6d","easy2","gecko","1241","b","stimuli/experiment1a/high_B_111.png","high","A","false"
"","","","","","html-keyboard-response","12","2.1.0","32590","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","13","2.1.0","35265","pvfdp4mgn6d","easy2","gecko","667","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","14","2.1.0","35782","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","15","2.1.0","36296","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","16","2.1.0","40522","pvfdp4mgn6d","easy2","gecko","2211","a","stimuli/experiment1a/high_B_101.png","high","A","true"
"","","","","","html-keyboard-response","17","2.1.0","41032","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","18","2.1.0","41539","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","19","2.1.0","45481","pvfdp4mgn6d","easy2","gecko","1938","b","stimuli/experiment1a/high_B_111.png","high","A","false"
"","","","","","html-keyboard-response","20","2.1.0","45989","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","21","2.1.0","48649","pvfdp4mgn6d","easy2","gecko","646","a","stimuli/experiment1a/high_B_111.png","high","A","true"
"","","","","","html-keyboard-response","22","2.1.0","49158","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","23","2.1.0","49665","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","24","2.1.0","52931","pvfdp4mgn6d","easy2","gecko","1263","b","stimuli/experiment1a/high_A_010.png","high","B","true"
"","","","","","html-keyboard-response","25","2.1.0","53449","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","html-keyboard-response","26","2.1.0","53964","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
"","","","","","categorize-image","27","2.1.0","56772","pvfdp4mgn6d","easy2","gecko","796","b","stimuli/experiment1a/high_A_000.png","high","B","true"
"","","","","","html-keyboard-response","28","2.1.0","57282","pvfdp4mgn6d","easy2","gecko","null","null","<div style=""font-size:60px;"">+</div>","","",""
