success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,plugin_version,time_elapsed,random_id,condition,participant,rt,response,stimulus,nameability,correct_category,correct,file_name
NA,NA,NA,NA,NA,categorize-image,18,2.1.0,36118,p0ant7uvweh,hard,badger,1107,a,stimuli/experiment1a/low_B_110.png,low,B,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,19,2.1.0,36621,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,20,2.1.0,39430,p0ant7uvweh,hard,badger,806,b,stimuli/experiment1a/low_B_110.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,21,2.1.0,39933,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,22,2.1.0,40434,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,23,2.1.0,42996,p0ant7uvweh,hard,badger,558,a,stimuli/experiment1a/low_B_101.png,low,B,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,24,2.1.0,43497,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,25,2.1.0,45921,p0ant7uvweh,hard,badger,420,b,stimuli/experiment1a/low_B_101.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,26,2.1.0,46423,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,27,2.1.0,46925,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,28,2.1.0,49418,p0ant7uvweh,hard,badger,490,a,stimuli/experiment1a/low_A_000.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,29,2.1.0,49921,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,30,2.1.0,50422,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,31,2.1.0,52958,p0ant7uvweh,hard,badger,533,b,stimuli/experiment1a/low_A_010.png,low,A,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,32,2.1.0,53461,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,33,2.1.0,55749,p0ant7uvweh,hard,badger,285,a,stimuli/experiment1a/low_A_010.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,image-keyboard-response,34,null,57760,p0ant7uvweh,hard,badger,2006,q,stimuli/experiment_check.webp,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,35,2.1.0,59762,p0ant7uvweh,hard,badger,null,null,<p>Fluffy blesses you. Good job!</p><p>Press any key to continue.</p>,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,36,2.1.0,62481,p0ant7uvweh,hard,badger,2718,NA,<p><strong>TEST BLOCK 1 FINISHED</strong></p><p>Press any key to continue.</p>,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,37,2.1.0,62983,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,38,2.1.0,63485,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,39,2.1.0,66211,p0ant7uvweh,hard,badger,723,a,stimuli/experiment1a/low_A_001.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,40,2.1.0,66714,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,41,2.1.0,67215,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,42,2.1.0,69921,p0ant7uvweh,hard,badger,703,a,stimuli/experiment1a/low_A_010.png,low,A,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,43,2.1.0,70424,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,44,2.1.0,70925,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,45,2.1.0,73685,p0ant7uvweh,hard,badger,758,b,stimuli/experiment1a/low_B_111.png,low,B,TRUE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,46,2.1.0,74188,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,47,2.1.0,74689,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,categorize-image,48,2.1.0,77385,p0ant7uvweh,hard,badger,693,a,stimuli/experiment1a/low_B_101.png,low,B,FALSE,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
NA,NA,NA,NA,NA,html-keyboard-response,49,2.1.0,77888,p0ant7uvweh,hard,badger,null,null,"<div style=""font-size:60px;"">+</div>",NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_nameability/analysis/../data/raw_data/p0ant7uvweh_1772140282964.csv
